academicyear,athleticstatus,countryoforigin,countryofresidence,disability,dob,gender,major,primarylanguage,university,dropout,study_hours,gpa
3,1,0,3,11,5898,0,2,4,5915,0.0,7.5,3.12
5,0,6,1,16,1033,0,2,4,1890,0.0,8.5,3.21
5,0,3,4,14,3918,0,1,3,4871,0.0,6.5,2.87
5,0,6,6,4,6254,1,1,1,6939,1.0,6.8,2.05
4,0,4,4,2,2644,1,3,1,421,0.0,6.6,2.35
0,1,5,4,20,656,1,2,2,4231,0.0,8.0,3.14
3,0,6,6,3,7212,1,3,4,3553,0.0,7.3,3.02
2,1,3,2,15,5482,0,1,0,1664,1.0,6.1,2.01
2,0,1,4,15,3553,0,2,3,5066,0.0,7.6,2.56
4,1,6,7,0,2247,1,0,2,2556,0.0,7.8,2.73
1,1,0,6,4,4854,1,0,4,2114,0.0,7.5,2.85
1,0,7,1,15,6773,1,1,3,4915,1.0,6.8,2.21
2,1,1,5,1,4152,1,1,2,5567,0.0,7.5,2.63
2,1,6,1,4,2717,1,1,4,6499,0.0,8.0,2.84
1,0,3,7,5,5339,1,1,0,1785,0.0,8.0,3.11
4,0,0,2,2,3904,0,3,2,688,0.0,6.2,2.06
0,0,3,1,19,3087,0,2,3,4274,0.0,8.0,3.37
0,0,6,1,16,6447,1,2,2,5896,0.0,7.2,2.82
5,1,4,0,10,7576,1,2,3,1105,0.0,7.2,3.07
5,0,6,4,10,2075,1,0,3,5837,1.0,6.3,2.21
1,0,2,3,16,5512,0,3,2,5304,0.0,9.0,3.36
4,0,2,6,11,4062,1,0,1,243,0.0,8.4,3.08
3,1,5,7,17,4433,1,1,3,3001,1.0,6.6,2.14
4,1,6,4,15,203,1,3,3,4673,0.0,7.8,3.03
5,1,1,2,5,6356,0,2,1,2695,0.0,6.7,2.4
5,0,4,0,5,2564,1,0,3,2764,1.0,4.1,2.03
3,0,0,2,7,3771,1,3,1,1243,0.0,7.9,3.09
0,0,1,5,15,4218,1,3,2,2901,0.0,8.3,3.22
5,0,4,1,10,325,0,0,1,1140,0.0,6.1,2.34
5,1,7,5,3,816,1,2,3,6408,0.0,6.9,2.85
4,1,0,4,5,2034,1,2,0,1097,0.0,6.4,2.54
3,1,1,3,12,6538,0,2,0,1549,0.0,6.9,2.76
1,1,3,1,12,1100,0,3,4,4632,0.0,7.5,3.08
2,1,4,0,10,2430,0,0,4,4005,0.0,7.5,3.34
1,0,6,0,13,59,0,2,0,5813,0.0,6.1,2.13
5,0,4,1,9,2412,0,0,1,3626,0.0,8.1,3.19
5,0,0,7,1,6954,1,0,3,1639,0.0,6.9,2.55
1,0,1,1,2,1986,1,3,0,1632,0.0,6.4,2.58
3,0,7,4,2,5878,0,0,3,5645,0.0,8.2,2.88
4,0,0,3,11,2159,0,0,2,5630,0.0,6.8,2.69
2,0,6,1,12,1811,1,1,1,1721,0.0,8.0,2.88
5,0,0,1,2,2301,0,1,4,6792,0.0,7.3,2.39
